ID1,ID2,Rel
M1,F2,-0.477
F1,M1,-0.175
F1,F2,HS
F1,F4,-0.281
F1,F5,-0.272
F1,M2,-0.339
F1,F7,0.052
F1,F8,-0.213
F4,M1,-0.404
F4,F2,0.043
F4,F5,-0.054
F4,M2,-0.067
F4,F7,-0.006
F4,F8,-0.105
F5,M1,-0.359
F5,F2,-0.153
F5,M2,-0.023
F5,F7,-0.083
F5,F8,-0.347
F6,O3,PO
F6,O7,PO
M2,M1,-0.105
M2,F2,HS
M2,F7,-0.057
M2,F8,-0.033
F7,M1,-0.294
F7,F2,-0.027
F7,F8,HS
F8,M1,HS
F8,F2,-0.124
O1,M1,-0.039
O1,F1,PO
O1,F2,0.192
O1,F4,-0.24
O1,F5,-0.104
O1,M2,-0.158
O1,F7,-0.045
O1,F8,-0.114
O1,O2,-0.36
O1,O3,0.018
O1,O4,-0.135
O1,O5,HS
O1,O6,-0.345
O1,O7,-0.181
O1,O8,-0.021
O1,O9,-0.107
O1,O10,0.042
O1,O11,-0.028
O1,O12,-0.127
O2,M1,PO
O2,F1,-0.527
O2,F2,-0.473
O2,F4,PO
O2,F5,-0.146
O2,M2,-0.086
O2,F7,-0.23
O2,F8,-0.054
O2,O3,0.103
O2,O4,FS
O2,O5,-0.227
O2,O6,HS
O2,O7,HS
O2,O8,-0.049
O2,O9,FS
O2,O10,-0.044
O2,O11,0.053
O2,O12,-0.242
O3,M1,PO
O3,F1,-0.199
O3,F2,-0.179
O3,F4,-0.16
O3,F5,-0.236
O3,M2,0.055
O3,F7,-0.229
O3,F8,-0.087
O3,O4,HS
O3,O5,-0.095
O3,O6,HS
O3,O7,FS
O3,O8,HS
O3,O9,-0.126
O3,O10,-0.165
O3,O11,-0.025
O3,O12,0.013
O4,M1,PO
O4,F1,-0.163
O4,F2,-0.084
O4,F4,PO
O4,F5,-0.278
O4,M2,-0.046
O4,F7,-0.049
O4,F8,-0.024
O4,O5,-0.059
O4,O6,HS
O4,O7,HS
O4,O8,HS
O4,O9,FS
O4,O10,-0.243
O4,O11,0.101
O4,O12,-0.049
O5,M1,PO
O5,F1,PO
O5,F2,-0.107
O5,F4,-0.462
O5,F5,-0.227
O5,M2,-0.244
O5,F7,-0.116
O5,F8,-0.335
O5,O6,-0.227
O5,O7,HS
O5,O8,HS
O5,O9,-0.028
O5,O10,HS
O5,O11,-0.148
O5,O12,-0.282
O6,M1,PO
O6,F1,-0.39
O6,F2,-0.342
O6,F4,-0.101
O6,F5,PO
O6,M2,-0.007
O6,F7,-0.135
O6,F8,-0.112
O6,O7,HS
O6,O8,HS
O6,O9,-0.053
O6,O10,-0.01
O6,O11,-0.034
O6,O12,-0.18
O7,M1,PO
O7,F1,-0.385
O7,F2,-0.156
O7,F4,-0.268
O7,F5,-0.269
O7,M2,0.066
O7,F7,-0.346
O7,F8,-0.327
O7,O8,HS
O7,O9,-0.036
O7,O10,-0.142
O7,O11,-0.107
O7,O12,-0.223
O8,M1,PO
O8,F1,-0.129
O8,F2,PO
O8,F4,0.103
O8,F5,-0.211
O8,M2,0.026
O8,F7,0.06
O8,F8,-0.016
O9,M1,PO
O9,F1,-0.216
O9,F2,-0.043
O9,F4,PO
O9,F5,-0.218
O9,M2,-0.232
O9,F7,-0.3
O9,F8,-0.18
O9,O8,HS
O9,O10,-0.074
O9,O11,-0.233
O9,O12,-0.395
O10,M1,PO
O10,F1,-0.026
O10,F2,-0.345
O10,F4,-0.371
O10,F5,PO
O10,M2,-0.172
O10,F7,-0.18
O10,F8,-0.295
O10,O8,-0.435
O10,O11,-0.219
O10,O12,-0.37
O11,M1,-0.177
O11,F1,-0.172
O11,F2,-0.106
O11,F4,0.083
O11,F5,-0.082
O11,M2,PO
O11,F7,PO
O11,F8,0.034
O11,O8,-0.064
O11,O12,HS
O12,M1,-0.247
O12,F1,-0.231
O12,F2,-0.158
O12,F4,-0.077
O12,F5,-0.187
O12,M2,PO
O12,F7,-0.219
O12,F8,PO
O12,O8,-0.048
F7,F3,HS
M2,F3,HS
